"filename", "language", "toml", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\migrations\0001_initial.py", "Python", 0, 0, 25, 1, 7, 33
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\models.py", "Python", 0, 0, 11, 0, 3, 14
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\serializer.py", "Python", 0, 0, 12, 0, 3, 15
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\urls.py", "Python", 0, 0, 6, 0, 3, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\variables\views.py", "Python", 0, 0, 76, 2, 16, 94
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\admin.py", "Python", 0, 0, 3, 2, 4, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\apps.py", "Python", 0, 0, 3, 0, 3, 6
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\migrations\0001_initial.py", "Python", 0, 0, 24, 1, 7, 32
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\models.py", "Python", 0, 0, 10, 1, 4, 15
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\serializer.py", "Python", 0, 0, 12, 0, 4, 16
